GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A022RW23	MIMGU_mgv1a001153mg	involved_in	GO:0071456	cellular response to hypoxia	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000452651|UniProtKB:Q9Y4L1	4155	GO_Central		P
UniProtKB	A0A024QZQ6	DDIT4	involved_in	GO:0001666	response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9D3F7|ensembl:ENSMUSP00000020308	9606	Ensembl		P
UniProtKB	A0A024R1L3	RP5-1104E15.5	involved_in	GO:0071456	cellular response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5XIS8|ensembl:ENSRNOP00000075752	9606	Ensembl		P
UniProtKB	A0A024R1X5	BECN1	involved_in	GO:0001666	response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91XJ1|ensembl:ENSRNOP00000071966	9606	Ensembl		P
UniProtKB	A0A024R2B3	BCL2	involved_in	GO:0071456	cellular response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P10417|ensembl:ENSMUSP00000108371	9606	Ensembl		P
UniProtKB	A0A024R324	RHOA	involved_in	GO:0001666	response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P61589|ensembl:ENSRNOP00000066672	9606	Ensembl		P
UniProtKB	A0A024R3C5	DRD2	involved_in	GO:0001666	response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P61169|ensembl:ENSRNOP00000043759	9606	Ensembl		P
UniProtKB	A0A024R3C7	ATM	involved_in	GO:0001666	response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D4ACL8|ensembl:ENSRNOP00000045529	9606	Ensembl		P
UniProtKB	A0A024R3Y4	CFLAR	involved_in	GO:0071456	cellular response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:C0H5Y5|ensembl:ENSRNOP00000016730	9606	Ensembl		P
UniProtKB	A0A024R3Y4	CFLAR	involved_in	GO:0001666	response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:C0H5Y5|ensembl:ENSRNOP00000016730	9606	Ensembl		P
