GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A0B4K6K8	msi	involved_in	GO:0071456	cellular response to hypoxia	ECO:0000315	IMP	PMID:18653470		7227	FlyBase		P
UniProtKB	A0A0B4KG66	Mps1	involved_in	GO:0001666	response to hypoxia	ECO:0000315	IMP	PMID:15556864		7227	FlyBase		P
UniProtKB	A0A0B4KGY9	msi	involved_in	GO:0071456	cellular response to hypoxia	ECO:0000315	IMP	PMID:18653470		7227	FlyBase		P
UniProtKB	A0A0B4KHV4	msi	involved_in	GO:0071456	cellular response to hypoxia	ECO:0000315	IMP	PMID:18653470		7227	FlyBase		P
UniProtKB	A0A0B4LFV9	MESR4	involved_in	GO:0071456	cellular response to hypoxia	ECO:0000315	IMP	PMID:18653470		7227	FlyBase		P
UniProtKB	A0A0B4LGV3	MESR4	involved_in	GO:0071456	cellular response to hypoxia	ECO:0000315	IMP	PMID:18653470		7227	FlyBase		P
UniProtKB	A0A0J9QX61	Dsim\GD23452	involved_in	GO:0001666	response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9VM47|FlyBase:FBpp0110277	7240	EnsemblMetazoa		P
UniProtKB	A0A0J9R7G7	Dsim\GD10242	involved_in	GO:0001666	response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q961L4|FlyBase:FBpp0088031	7240	EnsemblMetazoa		P
UniProtKB	A0A0J9RBI5	Dsim\GD25799	involved_in	GO:0001666	response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q00449|FlyBase:FBpp0086914	7240	EnsemblMetazoa		P
UniProtKB	A0A0J9REY9	Dsim\GD11289	involved_in	GO:0071456	cellular response to hypoxia	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A1ZAV3|FlyBase:FBpp0112003	7240	EnsemblMetazoa		P
